rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp,start_time_pt,date,model
2,263516,2025-11-21T19:45:00.000Z,Nice vs Marseille,Marseille -0.5,-115,3,90,Marseille heavily backed with 90% tickets and 83% money. Away favorite with quality edge.,1-2,0,0,1,0,0,0,266,-102,270,2.5,-147,115,0.5,-125,-0.5,-115,2025-11-21 19:00:00+00:00,2025-11-21 11:45:00-08:00,2025-11-21,cliff
3,263496,2025-11-21T20:00:00.000Z,Valencia vs Levante,Valencia -0.5,-102,3,92,Strong home favorite with 88% tickets and 68% money. Clear quality advantage at home.,2-0,1,0,0,0,0,0,105,255,240,2.5,-110,-115,-0.5,-102,0.5,-135,2025-11-21 19:00:00+00:00,2025-11-21 12:00:00-08:00,2025-11-21,cliff
4,263504,2025-11-22T13:00:00.000Z,Alaves vs Celta Vigo,Under 2.5,-168,2,88,Heavy under backing at 87-88% tickets/money. Defensive game expected.,1-1,0,0,0,0,0,1,155,200,207,2.5,130,-168,-0.5,135,0.5,-200,2025-11-21 19:00:00+00:00,2025-11-22 05:00:00-08:00,2025-11-22,cliff
5,263512,2025-11-22T14:00:00.000Z,Udinese vs Bologna,Bologna -0.5,-105,2,86,Bologna backed by 86% tickets and 79% money as away favorite. Strong road form.,0-1,0,0,1,0,0,0,280,105,220,2.5,125,-163,0.5,-135,-0.5,-105,2025-11-21 19:00:00+00:00,2025-11-22 06:00:00-08:00,2025-11-22,cliff
6,263442,2025-11-22T14:30:00.000Z,Augsburg vs HSV,Augsburg -0.5,115,2,85,Home favorite with 76-81% backing. Home advantage key in tight matchup.,1-0,1,0,0,0,0,0,130,195,255,2.5,-146,115,-0.5,115,0.5,-165,2025-11-21 19:00:00+00:00,2025-11-22 06:30:00-08:00,2025-11-22,cliff
7,263436,2025-11-22T15:00:00.000Z,Albion vs Brentford,Albion -0.5,-118,2,83,Home slight favorite with 66-80% backing. Should edge at home.,1-0,1,0,0,0,0,0,-108,285,270,2.5,-150,111,-0.5,-118,0.5,-120,2025-11-21 19:00:00+00:00,2025-11-22 07:00:00-08:00,2025-11-22,cliff
1,263447,2025-11-22T14:30:00.000Z,Bayern vs Freiburg,Bayern -2.5,120,3,92,Bayern at home against mid-table Freiburg with massive -537 ML. Strong home advantage and quality gap justifies -2.5 spread at plus money,3-0,1,0,0,0,0,0,-537,1225,650,3.5,-113,-114,-2.5,120,2.5,-175,2025-11-21 23:45:00+00:00,2025-11-22 06:30:00-08:00,2025-11-22,david
2,263432,2025-11-22T15:00:00.000Z,Liverpool vs Nottingham,Liverpool -1.5,105,3,90,Liverpool heavy favorites (-235 ML) at Anfield against struggling Nottingham. Home dominance should cover 1.5 goals,3-1,1,0,0,0,0,0,-235,600,385,3.5,130,-172,-1.5,105,1.5,-145,2025-11-21 23:45:00+00:00,2025-11-22 07:00:00-08:00,2025-11-22,david
3,263498,2025-11-22T15:15:00.000Z,Barcelona vs Athletic,Barcelona -1.5,108,3,88,Barcelona strong home favorite (-238 ML) against Athletic. Camp Nou advantage and quality difference should produce multi-goal win,2-0,1,0,0,0,0,0,-238,570,400,3.5,128,-163,-1.5,108,1.5,-152,2025-11-21 23:45:00+00:00,2025-11-22 07:15:00-08:00,2025-11-22,david
4,263446,2025-11-22T14:30:00.000Z,Dortmund vs Stuttgart,Dortmund -0.5,-143,2,85,Dortmund solid home favorite (-133 ML) against Stuttgart. Home field advantage crucial in tight Bundesliga matchup,2-1,1,0,0,0,0,0,-133,310,310,3.5,122,-163,-0.5,-143,0.5,-105,2025-11-21 23:45:00+00:00,2025-11-22 06:30:00-08:00,2025-11-22,david
5,263515,2025-11-22T20:05:00.000Z,PSG vs Le Havre,PSG -2.5,134,2,83,PSG massive favorite (-550 ML) at home against promoted Le Havre. Huge quality gap should result in comfortable win,4-1,1,0,0,0,0,0,-550,1350,650,3.5,112,-154,-2.5,134,2.5,-172,2025-11-21 23:45:00+00:00,2025-11-22 12:05:00-08:00,2025-11-22,david
6,263438,2025-11-22T15:00:00.000Z,Bournemouth vs West Ham,Bournemouth -0.5,-175,2,82,Bournemouth strong home favorite (-160 ML) against inconsistent West Ham. Home form should prevail,2-1,1,0,0,0,0,0,-160,400,310,2.5,-157,121,-0.5,-175,0.5,125,2025-11-21 23:45:00+00:00,2025-11-22 07:00:00-08:00,2025-11-22,david
7,263523,2025-11-22T16:00:00.000Z,Lens vs Strasbourg,Lens -0.5,-105,2,80,Lens solid home favorite with good value at -105. Strasbourg struggles away from home,2-1,1,0,0,0,0,0,105,250,275,2.5,-160,125,-0.5,-105,0.5,-135,2025-11-21 23:45:00+00:00,2025-11-22 08:00:00-08:00,2025-11-22,david
8,263442,2025-11-22T14:30:00.000Z,Augsburg vs HSV,Augsburg -0.5,115,1,78,Augsburg home favorite getting plus money on spread. Good value against HSV,2-1,1,0,0,0,0,0,130,195,255,2.5,-146,115,-0.5,115,0.5,-165,2025-11-21 23:45:00+00:00,2025-11-22 06:30:00-08:00,2025-11-22,david
9,263496,2025-11-21T20:00:00.000Z,Valencia vs Levante,Valencia -0.5,-102,1,75,Valencia strong home favorite (105 ML) in derby match. Should control game at Mestalla,2-0,1,0,0,0,0,0,105,255,240,2.5,-110,-115,-0.5,-102,0.5,-135,2025-11-21 23:45:00+00:00,2025-11-21 12:00:00-08:00,2025-11-21,david
10,263436,2025-11-22T15:00:00.000Z,Albion vs Brentford,Albion -0.5,-118,1,72,West Brom slight home favorite with reasonable odds. Brentford inconsistent away,1-0,1,0,0,0,0,0,-108,285,270,2.5,-150,111,-0.5,-118,0.5,-120,2025-11-21 23:45:00+00:00,2025-11-22 07:00:00-08:00,2025-11-22,david
1,263496,2025-11-21T20:00:00.000Z,Valencia vs Levante,Valencia -0.5,-102,3,92,"Valencia strong home favorite (105 ML) with excellent home support. Levante struggling away, should control derby match",2-0,1,0,0,0,0,0,105,255,240,2.5,-110,-115,-0.5,-102,0.5,-135,2025-11-21 19:15:00+00:00,2025-11-21 12:00:00-08:00,2025-11-21,david
2,263442,2025-11-22T14:30:00.000Z,Augsburg vs HSV,Augsburg -0.5,115,3,90,Augsburg home favorite getting plus money on spread. Strong value against HSV with home advantage,2-1,1,0,0,0,0,0,130,195,255,2.5,-146,115,-0.5,115,0.5,-165,2025-11-21 19:15:00+00:00,2025-11-22 06:30:00-08:00,2025-11-22,david
3,263436,2025-11-22T15:00:00.000Z,Albion vs Brentford,Albion -0.5,-118,2,85,West Brom slight home favorite with reasonable odds. Brentford inconsistent away from home,1-0,1,0,0,0,0,0,-108,285,270,2.5,-150,111,-0.5,-118,0.5,-120,2025-11-21 19:15:00+00:00,2025-11-22 07:00:00-08:00,2025-11-22,david
4,263504,2025-11-22T13:00:00.000Z,Alaves vs Celta Vigo,Alaves -0.5,135,2,82,Alaves home favorite getting excellent plus money value. Celta Vigo poor away record justifies risk,2-1,1,0,0,0,0,0,155,200,207,2.5,130,-168,-0.5,135,0.5,-200,2025-11-21 19:15:00+00:00,2025-11-22 05:00:00-08:00,2025-11-22,david
5,263512,2025-11-22T14:00:00.000Z,Udinese vs Bologna,Bologna -0.5,-105,1,78,Bologna strong away favorite (105 ML) with better form. Udinese struggling at home,1-2,0,0,1,0,0,0,280,105,220,2.5,125,-163,0.5,-135,-0.5,-105,2025-11-21 19:15:00+00:00,2025-11-22 06:00:00-08:00,2025-11-22,david
6,263445,2025-11-21T19:30:00.000Z,Mainz vs HOFF,Mainz -0.5,130,1,75,Mainz home favorite with plus money value. Hoffenheim inconsistent on the road,2-1,1,0,0,0,0,0,150,170,260,2.5,-167,130,-0.5,130,0.5,-190,2025-11-21 19:15:00+00:00,2025-11-21 11:30:00-08:00,2025-11-21,david
1,263447,2025-11-22T14:30:00.000Z,Bayern vs Freiburg,Bayern -2.5,120,3,96,Dominant home favorite with 100% money support on the Money Line implies a blowout.,4-1,1,0,0,0,0,0,-537,1225,650,3.5,-113,-114,-2.5,120,2.5,-175,2025-11-21 04:07:46+00:00,2025-11-22 06:30:00-08:00,2025-11-22,gary
2,263432,2025-11-22T15:00:00.000Z,Liverpool vs Nottingham,Liverpool -1.5,105,3,94,Strong Anfield advantage and 98% of ML money backing Liverpool to clear the handicap.,3-0,1,0,0,0,0,0,-235,600,385,3.5,-172,85,-1.5,105,1.5,-145,2025-11-21 04:07:46+00:00,2025-11-22 07:00:00-08:00,2025-11-22,gary
3,263498,2025-11-22T15:15:00.000Z,Barcelona vs Athletic,Barcelona -1.5,108,3,93,Barcelona's technical superiority at home aligns with 99% money support.,3-1,1,0,0,0,0,0,-238,570,400,3.5,-163,96,-1.5,108,1.5,-152,2025-11-21 04:07:46+00:00,2025-11-22 07:15:00-08:00,2025-11-22,gary
4,263435,2025-11-22T12:30:00.000Z,Burnley vs Chelsea,Chelsea -1.5,125,2,88,Significant talent gap; 98% of money is on Chelsea to win comfortably away.,0-2,0,0,1,0,0,0,550,-200,350,2.5,-129,101,1.5,-182,-1.5,125,2025-11-21 04:07:46+00:00,2025-11-22 04:30:00-08:00,2025-11-22,gary
5,263515,2025-11-22T20:05:00.000Z,PSG vs Le Havre,PSG -2.5,134,2,86,League leaders at home against weaker opposition; 100% money support suggests dominance.,4-0,1,0,0,0,0,0,-550,1350,650,3.5,-154,97,-2.5,134,2.5,-172,2025-11-21 04:07:46+00:00,2025-11-22 12:05:00-08:00,2025-11-22,gary
6,263430,2025-11-22T17:30:00.000Z,Newcastle vs Man City,Man City -0.5,-110,2,85,Value line for City (ML equivalent) with 97% public and sharp money backing.,1-2,0,0,1,0,0,0,260,-103,280,2.5,-151,96,0.5,-130,-0.5,-110,2025-11-21 04:07:46+00:00,2025-11-22 09:30:00-08:00,2025-11-22,gary
7,263446,2025-11-22T14:30:00.000Z,Dortmund vs Stuttgart,Dortmund -0.5,-143,1,78,Dortmund needs points at home; 89% money support on the ML validates the pick.,2-1,1,0,0,0,0,0,-133,310,310,3.5,-163,96,-0.5,-143,0.5,-105,2025-11-21 04:07:46+00:00,2025-11-22 06:30:00-08:00,2025-11-22,gary
8,263495,2025-11-22T20:00:00.000Z,Villarreal vs Mallorca,Villarreal -1.5,115,1,77,99% money support on Villarreal indicates high confidence in a multi-goal win.,2-0,1,0,0,0,0,0,-226,580,375,2.5,-153,90,-1.5,115,1.5,-165,2025-11-21 04:07:46+00:00,2025-11-22 12:00:00-08:00,2025-11-22,gary
9,263436,2025-11-22T15:00:00.000Z,Albion vs Brentford,Albion -0.5,-118,1,75,Solid home favorite with 66% money support; -0.5 line requires just a win.,2-1,1,0,0,0,0,0,-108,285,270,2.5,-150,86,-0.5,-118,0.5,-120,2025-11-21 04:07:46+00:00,2025-11-22 07:00:00-08:00,2025-11-22,gary
10,263445,2025-11-21T19:30:00.000Z,Mainz vs HOFF,Over 2.5,-167,1,74,Heavy juice on the Over (-167) signals market expectation for a high-scoring affair.,2-2,0,0,0,0,1,0,150,170,260,2.5,-167,130,-0.5,130,0.5,-190,2025-11-21 04:07:46+00:00,2025-11-21 11:30:00-08:00,2025-11-21,gary
1,263516,2025-11-21T19:45:00.000Z,Nice vs Marseille,Marseille ML,-102,3,92,Strong away favorite with 83% money support. ML (-102) offers better value than the -0.5 spread (-115) for the exact same winning condition.,1-2,0,0,0,1,0,0,266,-102,270,2.5,-147,115,0.5,-125,-0.5,-115,2025-11-21 09:55:11+00:00,2025-11-21 11:45:00-08:00,2025-11-21,gary
2,263436,2025-11-22T15:00:00.000Z,Albion vs Brentford,Albion ML,-108,3,88,Home favorite with 80% ticket support. ML price (-108) is mathematically superior to the -0.5 spread (-118).,2-1,0,1,0,0,0,0,-108,285,270,2.5,-150,86,-0.5,-118,0.5,-120,2025-11-21 09:55:11+00:00,2025-11-22 07:00:00-08:00,2025-11-22,gary
3,263504,2025-11-22T13:00:00.000Z,Alaves vs Celta Vigo,Under 2.5,-168,2,85,"Massive sharp signal: 88% of tickets are on the Over, but the line is heavily juiced to the Under (-168), indicating smart money is fading the public.",0-1,0,0,0,0,0,1,155,200,207,2.5,130,-168,-0.5,135,0.5,-200,2025-11-21 09:55:11+00:00,2025-11-22 05:00:00-08:00,2025-11-22,gary
4,263445,2025-11-21T19:30:00.000Z,Mainz vs HOFF,Over 2.5,-167,2,82,Market consensus is overwhelming (90% tickets) with heavy juice (-167) confirming the expectation of a high-scoring match.,2-2,0,0,0,0,1,0,150,170,260,2.5,-167,130,-0.5,130,0.5,-190,2025-11-21 09:55:11+00:00,2025-11-21 11:30:00-08:00,2025-11-21,gary
5,263496,2025-11-21T20:00:00.000Z,Valencia vs Levante,Valencia ML,105,2,80,Solid home favorite backed by 88% of tickets. Getting plus money (+105) on a team expected to win is high value.,1-0,0,1,0,0,0,0,105,255,240,2.5,-110,-115,-0.5,-102,0.5,-135,2025-11-21 09:55:11+00:00,2025-11-21 12:00:00-08:00,2025-11-21,gary
6,263442,2025-11-22T14:30:00.000Z,Augsburg vs HSV,Augsburg ML,130,1,76,Home favorite with 76% money support. The +130 ML is significantly better value than the +115 spread.,2-1,0,1,0,0,0,0,130,195,255,2.5,-146,89,-0.5,115,0.5,-165,2025-11-21 09:55:11+00:00,2025-11-22 06:30:00-08:00,2025-11-22,gary
7,263512,2025-11-22T14:00:00.000Z,Udinese vs Bologna,Bologna ML,105,1,72,Bologna is the favorite on the road; taking the ML at +105 avoids the heavy juice on the spread.,1-2,0,0,0,1,0,0,280,105,220,2.5,125,78,0.5,-135,-0.5,-105,2025-11-21 09:55:11+00:00,2025-11-22 06:00:00-08:00,2025-11-22,gary
1,263437,2025-11-23T16:30:00.000Z,Arsenal vs Tottenham,Arsenal -1.5,115,3,92,Arsenal severely weakened by key injuries but Spurs face even worse crisis with 9+ players injured. Arsenal unbeaten in 26 of last 32 home derbies scoring 2+ in last 8 home meetings. Despite Arsenal issues quality edge remains decisive.,2-0,1,0,0,0,0,0,-225,650,350,2.5,-110,-115,-1.5,115,1.5,-165,2025-11-23 20:00:00+00:00,2025-11-23 08:30:00-08:00,2025-11-23,cliff
2,265703,2025-11-25T20:00:00.000Z,Man City vs Leverkusen,Man City -1.5,-165,3,90,City are massive favorites with elite home form. Leverkusen traveling to Etihad where City dominate. Historical success with heavy favorites has been strong. City need statement win after Newcastle loss.,3-1,1,0,0,0,0,0,-450,1000,550,3.5,-110,-115,-1.5,-165,1.5,128,2025-11-23 20:00:00+00:00,2025-11-25 12:00:00-08:00,2025-11-25,cliff
3,263502,2025-11-23T20:00:00.000Z,Elche vs Real Madrid,Real Madrid -1.5,-105,3,88,Massive talent gap with Real Madrid facing Segunda division side. Cup tie but Madrid bench stronger than Elche starters. Clean line at near even money is excellent value.,0-3,0,0,1,0,0,0,575,-250,425,3.5,113,-149,1.5,-130,-1.5,-105,2025-11-23 20:00:00+00:00,2025-11-23 12:00:00-08:00,2025-11-23,cliff
4,263508,2025-11-23T19:45:00.000Z,Inter vs Milan,Under 2.5,-131,2,85,Derby della Madonnina historically tight and tactical. Milan unbeaten in 10 but drawing frequently. Inter top defensively lately with consecutive home clean sheets. Both coaches conservative in big games.,1-1,0,0,0,0,0,1,106,280,225,2.5,-100,-131,-0.5,-105,0.5,-135,2025-11-23 20:00:00+00:00,2025-11-23 11:45:00-08:00,2025-11-23,cliff
5,263518,2025-11-23T19:45:00.000Z,Lille vs Paris FC,Lille -0.5,-175,2,83,Lille heavily favored at home. Paris FC from Ligue 2 represents significant quality gap. 97% of bets and 95% of money on Lille shows sharp consensus.,2-0,1,0,0,0,0,0,-155,400,310,2.5,-147,111,-0.5,-175,0.5,120,2025-11-23 20:00:00+00:00,2025-11-23 11:45:00-08:00,2025-11-23,cliff
6,265699,2025-11-25T17:45:00.000Z,Galatasaray vs Union Saint-Gilloise,Galatasaray -0.5,-185,2,82,Dominant home side with 98% of tickets and money backing Galatasaray shows unprecedented sharp consensus. Turkish powerhouse vs Belgian side in European competition.,2-0,1,0,0,0,0,0,-172,410,350,3.5,126,-173,-0.5,-185,0.5,130,2025-11-23 20:00:00+00:00,2025-11-25 09:45:00-08:00,2025-11-25,cliff
7,272227,2025-11-24T20:00:00.000Z,Man U vs Everton,Man U -0.5,-150,2,80,United at Old Trafford as solid favorites. 95% of bets and 93% of money on United. Everton struggling and United need bounce-back performance at home.,2-1,1,0,0,0,0,0,-135,360,280,2.5,-140,110,-0.5,-150,0.5,105,2025-11-23 20:00:00+00:00,2025-11-24 12:00:00-08:00,2025-11-24,cliff
8,263509,2025-11-23T17:00:00.000Z,Lazio vs Lecce,Lazio -0.5,-145,2,79,Lazio strong at home with good Europa form. 97% of tickets on Lazio shows sharp action. Lecce bottom-half side traveling to Rome with clear quality edge.,2-0,1,0,0,0,0,0,-135,433,240,2.5,133,-172,-0.5,-145,0.5,105,2025-11-23 20:00:00+00:00,2025-11-23 09:00:00-08:00,2025-11-23,cliff
9,265706,2025-11-25T20:00:00.000Z,Dortmund vs Villarreal,Under 2.5,110,1,76,Champions League knockout intensity with both tactically astute coaches. 96% of money on under shows sharp lean. Dortmund solid defensively at home in European matches.,1-1,0,0,0,0,0,1,-127,333,280,2.5,-145,110,-0.5,-143,0.5,-105,2025-11-23 20:00:00+00:00,2025-11-25 12:00:00-08:00,2025-11-25,cliff
10,265705,2025-11-25T20:00:00.000Z,Chelsea vs Barcelona,Chelsea -0.5,115,1,74,Chelsea home in Womens Champions League. Only 26% on Chelsea ML but line holds suggesting sharp money. Plus odds on home favorite indicates value opportunity.,2-1,1,0,0,0,0,0,125,175,290,3.5,-100,-126,-0.5,115,0.5,-165,2025-11-23 20:00:00+00:00,2025-11-25 12:00:00-08:00,2025-11-25,cliff
11,265700,2025-11-25T20:00:00.000Z,Napoli vs Qarabag,Napoli -1.5,-130,1,72,Napoli massive favorites hosting Azerbaijan side. 97% tickets and 87% money on Napoli. Should dominate weaker opponent at home in European competition.,3-0,1,0,0,0,0,0,-350,875,475,3.0,-115,-106,-1.5,-130,1.5,-107,2025-11-23 20:00:00+00:00,2025-11-25 12:00:00-08:00,2025-11-25,cliff
1,265703,2025-11-25T20:00:00.000Z,Man City vs Leverkusen,Man City -1.5,-165,3,92,Man City massive home favorite (-450 ML) in Champions League. Historical success with strong home favorites covering spreads,3-1,1,0,0,0,0,0,-450,1000,550,3.5,-110,-115,-1.5,-165,1.5,128,2025-11-23 18:30:00+00:00,2025-11-25 12:00:00-08:00,2025-11-25,david
2,265699,2025-11-25T17:45:00.000Z,Galatasaray vs Union Saint-Gilloise,Galatasaray -0.5,-185,3,90,Galatasaray strong home favorite (-172 ML) in European competition. Home advantage crucial,2-0,1,0,0,0,0,0,-172,410,350,3.5,126,-173,-0.5,-185,0.5,130,2025-11-23 18:30:00+00:00,2025-11-25 09:45:00-08:00,2025-11-25,david
3,265708,2025-11-26T17:45:00.000Z,Copenhagen vs Kairat Almaty,Copenhagen -1.5,-115,3,88,Copenhagen heavy home favorite (-295 ML) against weaker opposition. Should win comfortably,3-0,1,0,0,0,0,0,-295,750,420,3.5,122,-165,-1.5,-115,1.5,-120,2025-11-23 18:30:00+00:00,2025-11-26 09:45:00-08:00,2025-11-26,david
4,263437,2025-11-23T16:30:00.000Z,Arsenal vs Tottenham,Arsenal -1.5,115,2,85,Arsenal strong home favorite (-225 ML) in North London derby. Plus money value on home spread,2-0,1,0,0,0,0,0,-225,650,350,2.5,-110,-115,-1.5,115,1.5,-165,2025-11-23 18:30:00+00:00,2025-11-23 08:30:00-08:00,2025-11-23,david
5,263509,2025-11-23T17:00:00.000Z,Lazio vs Lecce,Lazio -0.5,-145,2,82,Lazio solid home favorite (-135 ML) against struggling Lecce. Home form should prevail,2-1,1,0,0,0,0,0,-135,433,240,2.5,133,-172,-0.5,-145,0.5,105,2025-11-23 18:30:00+00:00,2025-11-23 09:00:00-08:00,2025-11-23,david
6,263510,2025-11-24T19:45:00.000Z,Sassuolo vs Pisa,Sassuolo -0.5,-105,2,80,Sassuolo home favorite with excellent value at near-even money. Historical success with similar picks,2-1,1,0,0,0,0,0,105,280,220,2.5,125,-160,-0.5,-105,0.5,-135,2025-11-23 18:30:00+00:00,2025-11-24 11:45:00-08:00,2025-11-24,david
7,263501,2025-11-24T20:00:00.000Z,Espanyol vs Sevilla,Espanyol -0.5,-105,1,78,Espanyol home favorite with good value. Sevilla inconsistent away from home,2-1,1,0,0,0,0,0,101,282,235,2.5,116,-147,-0.5,-105,0.5,-135,2025-11-23 18:30:00+00:00,2025-11-24 12:00:00-08:00,2025-11-24,david
8,263518,2025-11-23T19:45:00.000Z,Lille vs Paris FC,Lille -0.5,-175,1,76,Lille strong home favorite (-155 ML) against weaker opposition. Should control match,2-0,1,0,0,0,0,0,-155,400,310,2.5,-147,111,-0.5,-175,0.5,120,2025-11-23 18:30:00+00:00,2025-11-23 11:45:00-08:00,2025-11-23,david
9,263519,2025-11-23T16:15:00.000Z,Brest vs Metz,Brest -0.5,-135,1,74,Brest home favorite (-125 ML) with reasonable spread odds. Metz poor away record,2-1,1,0,0,0,0,0,-125,330,280,2.5,-134,101,-0.5,-135,0.5,-105,2025-11-23 18:30:00+00:00,2025-11-23 08:15:00-08:00,2025-11-23,david
10,281952,2025-11-24T00:45:00.000Z,Union vs NYCFC,Union -0.5,-120,1,72,Union home favorite (-115 ML) in MLS playoff. Home advantage in knockout match,2-1,1,0,0,0,0,0,-115,290,250,2.5,-109,-119,-0.5,-120,0.5,-118,2025-11-23 18:30:00+00:00,2025-11-23 16:45:00-08:00,2025-11-23,david
1,265708,2025-11-26T17:45:00.000Z,Copenhagen vs Kairat Almaty,Copenhagen -1.5,-115,3,96,"Copenhagen is a massive home favorite (-295 ML) against a much weaker opponent. 98% of the money backs them, and the -1.5 spread at -115 is excellent value for a likely blowout.",3-0,1,0,0,0,0,0,-295,750,420,3.5,-165,88,-1.5,-115,1.5,-120,2025-11-23 07:36:57+00:00,2025-11-26 09:45:00-08:00,2025-11-26,gary
2,265700,2025-11-25T20:00:00.000Z,Napoli vs Qarabag,Napoli -1.5,-130,3,95,"Similar to the Copenhagen pick, Napoli is a dominant home favorite (-350 ML) with 97% ticket support. The talent gap suggests a multi-goal victory.",3-0,1,0,0,0,0,0,-350,875,475,3.0,-106,89,-1.5,-130,1.5,-107,2025-11-23 07:36:57+00:00,2025-11-25 12:00:00-08:00,2025-11-25,gary
